TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,Price
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,128,0,0,117893
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,No,0,0,0,128,79107
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.86,No,0,256,0,0,50600
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,No,0,512,0,0,223296
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,256,0,0,158717
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,No,500,0,0,0,35200
Ultrabook,15.4,2880x1800,Intel i7,16,Mac OS X,2.04,No,0,0,0,256,188317
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,No,0,0,0,256,101966
Ultrabook,14.0,1920x1080,Intel i7,16,Windows 10,1.3,No,0,512,0,0,131560
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,No,0,256,0,0,67760
Notebook,15.6,1366x768,Intel i5,4,No OS,1.86,No,500,0,0,0,34663
Notebook,15.6,1920x1080,Intel i3,4,No OS,1.86,No,500,0,0,0,30359
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,No,0,256,0,0,214717
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,No,0,256,0,0,43903
Ultrabook,12.0,2304x1440,Intel M ,8,macOS,0.92,No,0,256,0,0,111091
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,256,0,0,133632
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,0,256,0,0,65560
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,No,0,512,0,0,251504
Notebook,15.6,1920x1080,Intel i3,8,No OS,2.2,No,1000,0,0,0,43912
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.22,Yes,0,128,0,0,86152
Netbook,11.6,1366x768,Intel Atom,2,Windows 10,0.98,No,0,0,0,32,16887
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,No,1000,128,0,0,87912
Notebook,15.6,1366x768,AMD E,4,No OS,1.86,No,500,0,0,0,22704
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.62,Yes,0,256,0,0,72072
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,No,0,256,0,0,57992
