TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,price_inr,TouchScreen,HDD,SSD,SSHD,FStorage
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,117893,No,0,128,0,0
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,79107,No,0,0,0,128
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.86,50600,No,0,256,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,223296,No,0,512,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,158717,No,0,256,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,35200,No,500,0,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,Mac OS X,2.04,188317,No,0,0,0,256
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,101966,No,0,0,0,256
Ultrabook,14.0,1920x1080,Intel i7,16,Windows 10,1.3,131560,No,0,512,0,0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,67760,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,4,No OS,1.86,34663,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i3,4,No OS,1.86,30359,No,500,0,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,214717,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,43903,No,0,256,0,0
Ultrabook,12.0,2304x1440,Intel M ,8,macOS,0.92,111091,No,0,256,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,133632,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,65560,No,0,256,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,251504,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i3,8,No OS,2.2,43912,No,1000,0,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.22,86152,Yes,0,128,0,0
Netbook,11.6,1366x768,Intel Atom,2,Windows 10,0.98,16887,No,0,0,0,32
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,87912,No,1000,128,0,0
Notebook,15.6,1366x768,AMD E,4,No OS,1.86,22704,No,500,0,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.62,72072,Yes,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,57992,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.3,36840,No,1000,0,0,0
Ultrabook,13.3,1440x900,Intel i5,8,Mac OS X,1.35,96712,No,0,0,0,128
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.2,70400,No,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.88,114224,No,0,512,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,78848,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel Atom,4,Windows 10,1.89,21559,No,0,0,0,64
Notebook,14.0,1366x768,AMD E,2,Windows 10,1.65,17512,No,0,0,0,32
Notebook,17.3,1920x1080,AMD A6,4,Windows 10,2.71,38632,No,500,0,0,0
Ultrabook,13.3,3200x1800,Intel i7,16,Windows 10,1.2,164472,Yes,0,512,0,0
Ultrabook,13.3,1440x900,Intel i5,8,Mac OS X,1.35,87824,No,0,0,0,256
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,21912,No,0,0,0,64
Notebook,15.6,1366x768,Intel i3,4,Linux,2.1,32296,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.8,86152,No,1000,128,0,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,1.86,43005,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,77352,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2,34232,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.65,131912,No,1000,256,0,0
Notebook,15.6,1366x768,Intel i5,8,Linux,2.3,46023,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.2,60016,No,0,256,0,0
2 in 1 Convertible,17.3,1920x1080,Intel i5,12,Windows 10,2.77,87912,Yes,1000,0,0,0
