Inches,ScreenResolution,Cpu,Ram,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,LaptopPrice
13.3,11,15,8,1.37,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,117893
13.3,2,15,8,1.34,0,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,79107
15.6,4,15,8,1.86,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,50600
15.4,12,16,16,1.83,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,223296
13.3,11,15,8,1.37,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,158717
15.6,1,5,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,35200
15.4,12,16,16,2.04,0,0,0,0,256,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,188317
13.3,2,15,8,1.34,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,101966
14.0,4,16,16,1.3,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,131560
14.0,4,15,8,1.6,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,67760
15.6,1,15,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,34663
15.6,4,14,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30359
15.4,12,16,16,1.83,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,214717
15.6,4,14,4,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,43903
12.0,7,11,8,0.92,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,111091
13.3,11,15,8,1.37,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,133632
15.6,4,16,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,65560
15.4,12,16,16,1.83,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,251504
15.6,4,14,8,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43912
13.3,4,15,8,1.22,1,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,86152
11.6,1,9,2,0.98,0,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16887
15.6,4,15,8,2.5,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,87912
15.6,1,6,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22704
13.3,4,15,8,1.62,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72072
15.6,4,16,8,1.91,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,57992
15.6,1,14,4,2.3,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,36840
13.3,2,15,8,1.35,0,0,0,0,128,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,96712
15.6,4,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,70400
15.6,4,16,8,1.88,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,114224
17.3,4,15,8,2.5,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,78848
15.6,4,9,4,1.89,0,0,0,0,64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21559
14.0,1,6,2,1.65,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17512
17.3,4,3,4,2.71,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,38632
13.3,13,16,16,1.2,1,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,164472
13.3,2,15,8,1.35,0,0,0,0,256,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,87824
14.0,1,10,4,1.44,0,0,0,0,64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21912
15.6,1,14,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,32296
17.3,4,15,8,2.8,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,86152
